NAME,FLIT.girl,FLIT.boy,FLIT
Aruba,NA,NA,NA
Afghanistan,NA,NA,NA
Angola,NA,NA,NA
Anguilla,NA,NA,NA
Albania,NA,NA,NA
Aland,NA,NA,NA
Andorra,NA,NA,NA
United Arab Emirates,NA,NA,NA
Argentina,NA,NA,NA
Armenia,NA,NA,NA
American Samoa,NA,NA,NA
Antarctica,NA,NA,NA
Ashmore and Cartier Is.,NA,NA,NA
Fr. S. and Antarctic Lands,NA,NA,NA
Antigua and Barb.,NA,NA,NA
Australia,NA,NA,NA
Austria,NA,NA,NA
Azerbaijan,NA,NA,NA
Burundi,NA,NA,NA
Belgium,NA,NA,NA
Benin,NA,NA,NA
Burkina Faso,NA,NA,NA
Bangladesh,NA,NA,NA
Bulgaria,444,427,435
Bahrain,NA,NA,NA
Bahamas,NA,NA,NA
Bosnia and Herz.,NA,NA,NA
St. Barthelemy,NA,NA,NA
Belarus,NA,NA,NA
Belize,NA,NA,NA
Bermuda,NA,NA,NA
Bolivia,NA,NA,NA
Brazil,423,423,423
Barbados,NA,NA,NA
Brunei,NA,NA,NA
Bhutan,NA,NA,NA
Botswana,NA,NA,NA
Central African Rep.,NA,NA,NA
Canada,512,516,514
Switzerland,NA,NA,NA
Chile,463,473,468
China,NA,NA,NA
Ivory Coast,NA,NA,NA
Clipperton I.,NA,NA,NA
Cameroon,NA,NA,NA
NA,NA,NA,NA
Congo (Kinshasa),NA,NA,NA
Congo (Brazzaville),NA,NA,NA
Cook Is.,NA,NA,NA
Colombia,NA,NA,NA
Comoros,NA,NA,NA
Cape Verde,NA,NA,NA
Costa Rica,NA,NA,NA
Coral Sea Is.,NA,NA,NA
Cuba,NA,NA,NA
Curacao,NA,NA,NA
Cayman Is.,NA,NA,NA
N. Cyprus,NA,NA,NA
Cyprus,NA,NA,NA
Czech Rep.,NA,NA,NA
Germany,NA,NA,NA
Djibouti,NA,NA,NA
Dominica,NA,NA,NA
Denmark,NA,NA,NA
Dominican Rep.,NA,NA,NA
Algeria,NA,NA,NA
Ecuador,NA,NA,NA
Egypt,NA,NA,NA
Eritrea,NA,NA,NA
Dhekelia,NA,NA,NA
Spain,498,497,497
Estonia,547,549,548
Ethiopia,NA,NA,NA
Finland,540,534,537
Fiji,NA,NA,NA
Falkland Is.,NA,NA,NA
France,NA,NA,NA
Faroe Is.,NA,NA,NA
Micronesia,NA,NA,NA
Gabon,NA,NA,NA
Gaza,NA,NA,NA
United Kingdom,NA,NA,NA
Georgia,411,399,405
Guernsey,NA,NA,NA
Ghana,NA,NA,NA
Gibraltar,NA,NA,NA
Guinea,NA,NA,NA
Gambia,NA,NA,NA
Guinea Bissau,NA,NA,NA
Eq. Guinea,NA,NA,NA
Greece,NA,NA,NA
Grenada,NA,NA,NA
Greenland,NA,NA,NA
Guatemala,NA,NA,NA
Guam,NA,NA,NA
Guyana,NA,NA,NA
Hong Kong,NA,NA,NA
Heard I. and McDonald Is.,NA,NA,NA
Honduras,NA,NA,NA
Croatia,NA,NA,NA
Haiti,NA,NA,NA
Hungary,NA,NA,NA
Indonesia,422,402,412
Isle of Man,NA,NA,NA
India,NA,NA,NA
Indian Ocean Ter.,NA,NA,NA
Br. Indian Ocean Ter.,NA,NA,NA
Ireland,NA,NA,NA
Iran,NA,NA,NA
Iraq,NA,NA,NA
Iceland,NA,NA,NA
Israel,NA,NA,NA
Italy,475,486,481
Jamaica,NA,NA,NA
Jersey,NA,NA,NA
Jordan,NA,NA,NA
Japan,NA,NA,NA
Baykonur,NA,NA,NA
NA,NA,NA,NA
Kazakhstan,NA,NA,NA
Kenya,NA,NA,NA
Kyrgyzstan,NA,NA,NA
Cambodia,NA,NA,NA
Kiribati,NA,NA,NA
St. Kitts and Nevis,NA,NA,NA
NA,NA,NA,NA
S. Korea,NA,NA,NA
Kosovo,NA,NA,NA
Kuwait,NA,NA,NA
Laos,NA,NA,NA
Lebanon,NA,NA,NA
Liberia,NA,NA,NA
Libya,NA,NA,NA
Saint Lucia,NA,NA,NA
Liechtenstein,NA,NA,NA
Sri Lanka,NA,NA,NA
Lesotho,NA,NA,NA
Lithuania,495,494,495
Luxembourg,NA,NA,NA
Latvia,502,498,500
Macau,NA,NA,NA
St. Martin,NA,NA,NA
Morocco,NA,NA,NA
Monaco,NA,NA,NA
Moldova,NA,NA,NA
Madagascar,NA,NA,NA
Maldives,NA,NA,NA
Mexico,NA,NA,NA
Marshall Is.,NA,NA,NA
Macedonia,NA,NA,NA
Mali,NA,NA,NA
Malta,NA,NA,NA
Myanmar,NA,NA,NA
Montenegro,NA,NA,NA
Mongolia,NA,NA,NA
N. Mariana Is.,NA,NA,NA
Mozambique,NA,NA,NA
Mauritania,NA,NA,NA
Montserrat,NA,NA,NA
Mauritius,NA,NA,NA
Malawi,NA,NA,NA
Malaysia,NA,NA,NA
Namibia,NA,NA,NA
New Caledonia,NA,NA,NA
Niger,NA,NA,NA
Norfolk Island,NA,NA,NA
Nigeria,NA,NA,NA
Nicaragua,NA,NA,NA
Niue,NA,NA,NA
Netherlands,558,556,557
Norway,NA,NA,NA
Nepal,NA,NA,NA
Nauru,NA,NA,NA
New Zealand,NA,NA,NA
Oman,NA,NA,NA
Pakistan,NA,NA,NA
Panama,NA,NA,NA
Pitcairn Is.,NA,NA,NA
Peru,409,419,414
Philippines,NA,NA,NA
Palau,NA,NA,NA
Papua New Guinea,NA,NA,NA
Poland,517,524,520
Puerto Rico,NA,NA,NA
N. Korea,NA,NA,NA
Portugal,505,505,505
Paraguay,NA,NA,NA
Fr. Polynesia,NA,NA,NA
Qatar,NA,NA,NA
Romania,NA,NA,NA
Russia,490,492,491
Rwanda,NA,NA,NA
W. Sahara,NA,NA,NA
Saudi Arabia,NA,NA,NA
Sudan,NA,NA,NA
S. Sudan,NA,NA,NA
Senegal,NA,NA,NA
Singapore,NA,NA,NA
S. Geo. and S. Sandw. Is.,NA,NA,NA
Saint Helena,NA,NA,NA
Solomon Is.,NA,NA,NA
Sierra Leone,NA,NA,NA
El Salvador,NA,NA,NA
San Marino,NA,NA,NA
Somaliland,NA,NA,NA
Somalia,NA,NA,NA
St. Pierre and Miquelon,NA,NA,NA
Serbia,447,440,444
Sao Tome and Principe,NA,NA,NA
Suriname,NA,NA,NA
Slovakia,482,483,483
Slovenia,NA,NA,NA
Sweden,NA,NA,NA
Swaziland,NA,NA,NA
Sint Maarten,NA,NA,NA
Seychelles,NA,NA,NA
Syria,NA,NA,NA
Turks and Caicos Is.,NA,NA,NA
Chad,NA,NA,NA
Togo,NA,NA,NA
Thailand,NA,NA,NA
Tajikistan,NA,NA,NA
Turkmenistan,NA,NA,NA
East Timor,NA,NA,NA
Tonga,NA,NA,NA
Trinidad and Tobago,NA,NA,NA
Tunisia,NA,NA,NA
Turkey,NA,NA,NA
Tuvalu,NA,NA,NA
Taiwan,NA,NA,NA
Tanzania,NA,NA,NA
Uganda,NA,NA,NA
Ukraine,NA,NA,NA
U.S. Minor Outlying Is.,NA,NA,NA
Uruguay,NA,NA,NA
United States,498,503,501
Guantanamo Bay USNB,NA,NA,NA
Uzbekistan,NA,NA,NA
Vatican,NA,NA,NA
St. Vin. and Gren.,NA,NA,NA
Venezuela,NA,NA,NA
British Virgin Is.,NA,NA,NA
U.S. Virgin Is.,NA,NA,NA
Vietnam,NA,NA,NA
Vanuatu,NA,NA,NA
West Bank,NA,NA,NA
Wallis and Futuna,NA,NA,NA
Akrotiri,NA,NA,NA
Samoa,NA,NA,NA
Yemen,NA,NA,NA
South Africa,NA,NA,NA
Zambia,NA,NA,NA
Zimbabwe,NA,NA,NA
